SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,21,2008,8,individual_heating,management_in_trust,829,196460
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,4,2014,9,individual_heating,management_in_trust,640,203539
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,18,2014,1,individual_heating,self_management,135,53982
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,26,2006,5,individual_heating,management_in_trust,1149,376106
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,11,1992,3,individual_heating,self_management,644,80973
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,19,2006,5,individual_heating,management_in_trust,636,119469
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,19,2007,10,individual_heating,management_in_trust,1387,353982
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,11,2008,8,individual_heating,management_in_trust,914,309734
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,25,2014,9,individual_heating,management_in_trust,640,267256
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1131,185840
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,4,1992,3,individual_heating,self_management,644,118584
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,8,2007,4,individual_heating,management_in_trust,914,210619
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,23,2015,10,individual_heating,management_in_trust,1035,469026
